open_time_ms,open,high,low,close,volume
1600041600000,3.2002,4.9100,3.2002,3.2661,4788171
1600128000000,3.2629,3.3258,2.9001,2.9332,4318305
1600214400000,2.9299,2.9299,2.4316,2.5395,5698128
1600300800000,2.5400,2.9360,2.3569,2.8855,6499338
1600387200000,2.8821,3.1500,2.7240,3.1080,6310796
1600473600000,3.1080,3.2509,2.9550,3.0193,5004414
1600560000000,3.0159,3.0173,2.6876,2.8635,4430783
1600646400000,2.8567,3.0300,2.4576,2.7539,6299704
1600732800000,2.7544,3.0100,2.6094,2.9183,8942906
1600819200000,2.9196,3.0935,2.6863,2.8313,7291781
1600905600000,2.8350,3.2538,2.7607,3.1392,6564611
1600992000000,3.1314,3.2698,2.8980,3.1821,5925744
1601078400000,3.1871,3.2490,3.0170,3.1262,5033808
1601164800000,3.1275,3.1883,2.9770,3.1617,4684139
1601251200000,3.1596,3.2116,2.8909,2.9564,4954686
1601337600000,2.9560,3.0207,2.8740,2.9517,4430934
1601424000000,2.9500,2.9890,2.8285,2.9004,3951833
1601510400000,2.9008,2.9968,2.6546,2.8701,4852685
1601596800000,2.8694,2.8851,2.4224,2.6236,5582857
1601683200000,2.6271,2.6689,2.5326,2.5454,4150340
1601769600000,2.5447,2.5909,2.4266,2.5236,4641666
1601856000000,2.5244,2.6770,2.4561,2.6495,4421463
1601942400000,2.6517,2.6610,2.1346,2.1732,5435007
1602028800000,2.1725,2.4000,2.0854,2.3027,6627417
1602115200000,2.3036,2.4629,2.0117,2.3716,8385420
1602201600000,2.3717,2.6289,2.3101,2.5363,6662396
1602288000000,2.5356,2.6110,2.3907,2.4070,5487486
1602374400000,2.4065,2.4609,2.3378,2.4257,4904544
1602460800000,2.4269,2.7096,2.4171,2.5825,6382872
1602547200000,2.5820,2.5889,2.3355,2.4048,6883812
1602633600000,2.4053,2.4464,2.2337,2.3087,4990767
1602720000000,2.3102,2.3443,2.1928,2.2670,4524474
1602806400000,2.2668,2.2708,2.1030,2.1404,5792357
1602892800000,2.1401,2.2425,2.1100,2.2062,4136722
1602979200000,2.2069,2.2649,2.1804,2.2186,3907591
1603065600000,2.2167,2.2206,2.0510,2.0578,4834438
1603152000000,2.0576,2.1083,1.8457,1.8905,6052367
1603238400000,1.8885,2.1098,1.8474,1.8933,10108189
1603324800000,1.8933,2.0905,1.8629,1.9619,6143069
1603411200000,1.9620,1.9938,1.8502,1.9645,5454719
1603497600000,1.9666,1.9734,1.8800,1.9196,4059055
1603584000000,1.9179,1.9281,1.7628,1.7937,5740317
1603670400000,1.7946,1.8723,1.6162,1.6786,6534261
1603756800000,1.6777,1.7542,1.5928,1.7135,7047936
1603843200000,1.7131,1.7287,1.4555,1.5196,10242140
1603929600000,1.5195,1.5773,1.4146,1.4325,6341465
1604016000000,1.4321,1.4677,1.3379,1.4378,7038014
1604102400000,1.4367,1.5501,1.4269,1.5472,5962596
