open_time_ms,open,high,low,close,volume
1594339200000,0.003989,0.003989,0.003340,0.003535,7578204800
1594425600000,0.003535,0.003960,0.003411,0.003812,6154154959
1594512000000,0.003810,0.003861,0.003573,0.003648,2832682740
1594598400000,0.003647,0.003660,0.002942,0.003159,7754495522
1594684800000,0.003159,0.003401,0.003014,0.003293,4978543051
1594771200000,0.003293,0.003293,0.003046,0.003088,3104188124
1594857600000,0.003089,0.003093,0.002870,0.002985,3211986224
1594944000000,0.002985,0.003095,0.002912,0.003057,3227239839
1595030400000,0.003058,0.003678,0.003013,0.003436,13483791081
1595116800000,0.003437,0.003779,0.003301,0.003385,7212773014
1595203200000,0.003386,0.003432,0.003125,0.003216,3363031243
1595289600000,0.003215,0.003321,0.003180,0.003302,2619443411
1595376000000,0.003303,0.003314,0.003203,0.003292,1421543633
1595462400000,0.003294,0.003349,0.003265,0.003307,1674318643
1595548800000,0.003307,0.003314,0.003131,0.003213,1958265733
1595635200000,0.003213,0.003330,0.003180,0.003261,1830671869
1595721600000,0.003260,0.003297,0.003186,0.003239,1706816092
1595808000000,0.003240,0.003253,0.002999,0.003162,2747068881
1595894400000,0.003163,0.003233,0.003125,0.003189,1303272965
1595980800000,0.003190,0.003306,0.003165,0.003173,1909850957
1596067200000,0.003172,0.003245,0.003135,0.003228,1390413974
1596153600000,0.003228,0.003242,0.003175,0.003230,1099731013
1596240000000,0.003230,0.003872,0.003207,0.003715,10216943773
1596326400000,0.003717,0.003798,0.003061,0.003340,5243937296
1596412800000,0.003340,0.003446,0.003311,0.003384,2209764359
1596499200000,0.003384,0.003581,0.003363,0.003552,4816227415
1596585600000,0.003553,0.003595,0.003443,0.003506,2312327069
1596672000000,0.003506,0.003656,0.003450,0.003562,2805190546
1596758400000,0.003562,0.003621,0.003347,0.003496,2178416173
1596844800000,0.003495,0.003524,0.003392,0.003524,1076365750
1596931200000,0.003523,0.003538,0.003411,0.003471,1056863867
1597017600000,0.003471,0.003565,0.003382,0.003505,1971519264
1597104000000,0.003503,0.003588,0.003318,0.003397,2194380541
1597190400000,0.003396,0.003506,0.003311,0.003468,1532632558
1597276800000,0.003467,0.003526,0.003333,0.003491,1887102282
1597363200000,0.003492,0.003606,0.003434,0.003579,1981401261
1597449600000,0.003576,0.003637,0.003478,0.003541,2457133321
1597536000000,0.003540,0.003567,0.003437,0.003535,1278782845
