open_time_ms,open,high,low,close,volume
1679529600000,0.50000000,1.60000000,0.50000000,1.32170000,495714259.20000000
1679616000000,1.32180000,1.56750000,1.17170000,1.27270000,543509688.10000000
1679702400000,1.27260000,1.31500000,1.18000000,1.21780000,281919109.50000000
1679788800000,1.21790000,1.34990000,1.20210000,1.28180000,242122030.30000000
1679875200000,1.28180000,1.32590000,1.11600000,1.16570000,255551499.30000000
1679961600000,1.16580000,1.22400000,1.11000000,1.22040000,202773340.20000000
1680048000000,1.22020000,1.27670000,1.19570000,1.22570000,192740067.40000000
1680134400000,1.22570000,1.43000000,1.22340000,1.37960000,432682328.80000000
1680220800000,1.37950000,1.44500000,1.32740000,1.38970000,237400514.10000000
1680307200000,1.38970000,1.40280000,1.26000000,1.29310000,176749888.60000000
1680393600000,1.29300000,1.29850000,1.13290000,1.20160000,273657244.10000000
1680480000000,1.20170000,1.22790000,1.10000000,1.15300000,238034627.30000000
1680566400000,1.15270000,1.26870000,1.14790000,1.23450000,175931684.00000000
1680652800000,1.23450000,1.29050000,1.20460000,1.24250000,147233101.00000000
1680739200000,1.24190000,1.24440000,1.18000000,1.21490000,93713487.20000000
1680825600000,1.21510000,1.24690000,1.18130000,1.19700000,76374712.60000000
1680912000000,1.19690000,1.21000000,1.15230000,1.16180000,57591943.00000000
1680998400000,1.16180000,1.20000000,1.14310000,1.18150000,59181617.20000000
1681084800000,1.18150000,1.25390000,1.16250000,1.24230000,98770687.80000000
1681171200000,1.24230000,1.25900000,1.20320000,1.21640000,85393969.60000000
1681257600000,1.21620000,1.21930000,1.15280000,1.19340000,103650019.00000000
1681344000000,1.19350000,1.37700000,1.17770000,1.36900000,229925695.50000000
1681430400000,1.36890000,1.74500000,1.36800000,1.69850000,531188625.70000000
1681516800000,1.69820000,1.74400000,1.59500000,1.65310000,248513399.80000000
1681603200000,1.65310000,1.72280000,1.57200000,1.69570000,203386521.60000000
1681689600000,1.69570000,1.69930000,1.58190000,1.60910000,160893493.50000000
1681776000000,1.60930000,1.82000000,1.58200000,1.67310000,300760709.20000000
1681862400000,1.67260000,1.69660000,1.45430000,1.48880000,280622993.70000000
1681948800000,1.48860000,1.54500000,1.40360000,1.44200000,241956942.90000000
1682035200000,1.44190000,1.50360000,1.41000000,1.47190000,234777423.30000000
1682121600000,1.47170000,1.50030000,1.42000000,1.46520000,161249474.50000000
1682208000000,1.46520000,1.46520000,1.30000000,1.34050000,162687287.90000000
1682294400000,1.34050000,1.36890000,1.28000000,1.33850000,160683841.40000000
1682380800000,1.33820000,1.38730000,1.29330000,1.37940000,159350211.50000000
1682467200000,1.37940000,1.50520000,1.32000000,1.38400000,266578020.30000000
1682553600000,1.38410000,1.45440000,1.37000000,1.42320000,143289522.40000000
1682640000000,1.42320000,1.44390000,1.36000000,1.37990000,95044843.40000000
1682726400000,1.38010000,1.39480000,1.33000000,1.36750000,43764208.70000000
1682812800000,1.36750000,1.42540000,1.34640000,1.36830000,72287055.30000000
1682899200000,1.36850000,1.39080000,1.28800000,1.31870000,85547899.40000000
1682985600000,1.31870000,1.35950000,1.30730000,1.34860000,57278100.90000000
1683072000000,1.34860000,1.36380000,1.29540000,1.34280000,80533908.50000000
1683158400000,1.34280000,1.36520000,1.30730000,1.31830000,66484608.20000000
1683244800000,1.31840000,1.36670000,1.29000000,1.35620000,85542674.20000000
