open_time_ms,open,high,low,close,volume
1577836800000,7189.43,7260.43,7170.15,7197.57,56801.329
1577923200000,7197.57,7209.59,6922.00,6962.04,115295.677
1578009600000,6962.34,7407.28,6863.44,7341.72,208493.458
1578096000000,7341.60,7400.00,7269.21,7350.71,92586.033
1578182400000,7350.54,7495.00,7303.00,7354.36,117765.972
1578268800000,7354.36,7808.65,7345.00,7757.39,168150.317
1578355200000,7757.74,8215.33,7733.00,8152.49,280809.162
1578441600000,8150.90,8468.42,7870.11,8059.84,321225.114
1578528000000,8059.77,8060.00,7750.01,7818.59,187263.143
1578614400000,7817.91,8210.62,7670.00,8207.09,253783.948
1578700800000,8207.20,8292.19,8003.87,8020.56,164741.715
1578787200000,8020.58,8195.00,7956.28,8186.70,108629.964
1578873600000,8186.22,8200.00,8053.78,8113.00,74581.364
1578960000000,8112.99,8893.00,8109.02,8825.00,290777.981
1579046400000,8825.00,8921.20,8570.52,8825.30,237633.837
1579132800000,8825.35,8868.21,8596.25,8725.08,167958.963
1579219200000,8724.99,9039.00,8680.00,8918.72,205717.686
1579305600000,8918.73,8995.00,8816.00,8925.00,114708.682
1579392000000,8925.00,9205.30,8440.91,8705.85,225314.525
1579478400000,8705.98,8750.37,8526.06,8650.00,125161.675
1579564800000,8650.00,8790.10,8448.60,8742.43,107577.153
1579651200000,8742.78,8820.00,8585.85,8684.57,94305.496
1579737600000,8684.47,8694.00,8326.00,8409.60,163407.064
1579824000000,8410.00,8528.00,8247.00,8441.96,144785.391
1579910400000,8442.82,8455.00,8272.00,8344.64,96961.714
1579996800000,8344.37,8624.45,8300.00,8611.21,117898.916
1580083200000,8611.21,9015.48,8565.00,8913.61,172235.328
1580169600000,8913.61,9436.06,8905.00,9398.98,244467.546
1580256000000,9399.72,9460.52,9242.00,9311.00,169460.643
1580342400000,9311.23,9599.00,9210.42,9525.67,190137.536
1580428800000,9525.67,9550.72,9220.00,9364.51,146644.026
1580515200000,9364.50,9477.76,9306.00,9392.74,109040.285
1580601600000,9392.99,9489.92,9160.01,9338.20,148402.977
1580688000000,9340.49,9647.61,9250.00,9300.64,159049.385
1580774400000,9300.63,9368.00,9105.00,9198.35,147843.902
1580860800000,9198.32,9799.08,9179.88,9630.00,212311.697
1580947200000,9630.00,9884.00,9550.00,9778.12,200556.367
1581033600000,9777.97,9900.00,9736.66,9821.52,129740.767
1581120000000,9821.52,9956.00,9680.55,9906.43,129267.269
1581206400000,9906.09,10184.34,9892.15,10167.38,143407.013
1581292800000,10167.37,10213.56,9750.00,9865.56,184242.737
1581379200000,9865.56,10409.96,9729.36,10229.06,190119.815
1581465600000,10230.74,10479.98,10229.71,10339.99,159674.258
1581552000000,10339.64,10540.00,10101.00,10239.63,213052.717
1581638400000,10240.02,10390.00,10123.37,10356.82,130975.746
1581724800000,10356.27,10389.75,9752.30,9914.99,152146.127
1581811200000,9914.31,10060.45,9626.64,9921.86,141547.956
1581897600000,9921.87,9971.00,9461.89,9716.00,185338.179
1581984000000,9716.00,10270.00,9598.00,10174.32,166119.369
1582070400000,10174.53,10286.00,9293.07,9593.65,187495.927
1582156800000,9593.31,9700.00,9382.59,9601.99,143105.587
1582243200000,9601.51,9759.59,9547.00,9681.39,98954.288
1582329600000,9681.39,9710.70,9565.00,9659.20,58419.547
1582416000000,9658.95,10018.90,9657.00,9943.12,97134.358
1582502400000,9943.12,10000.00,9487.38,9662.95,157965.671
1582588800000,9662.88,9686.78,9247.00,9326.00,168641.725
1582675200000,9326.00,9384.00,8610.00,8792.22,267005.172
1582761600000,8793.96,8978.00,8533.90,8828.00,200638.488
1582848000000,8827.12,8908.86,8450.00,8699.57,196066.110
1582934400000,8699.86,8799.83,8530.00,8531.98,103524.685
1583020800000,8532.50,8762.24,8409.00,8537.84,174332.916
1583107200000,8537.84,8972.00,8504.95,8919.70,160294.484
1583193600000,8919.70,8922.34,8657.41,8765.00,160123.605
1583280000000,8765.00,8853.88,8669.23,8756.93,105462.120
1583366400000,8755.98,9172.30,8755.98,9062.81,161840.623
1583452800000,9062.62,9179.75,8994.14,9139.48,115011.583
1583539200000,9139.77,9204.00,8850.00,8897.18,125804.999
1583625600000,8895.62,8897.71,7997.70,8038.46,237407.028
1583712000000,8038.99,8182.31,7635.21,7932.15,334399.107
1583798400000,7932.45,8156.31,7733.00,7897.66,257068.702
1583884800000,7898.21,7988.00,7593.29,7938.39,220537.381
1583971200000,7938.39,7969.00,4347.00,4764.65,784747.020
1584057600000,4762.28,5971.00,3621.81,5570.26,935489.242
1584144000000,5569.84,5638.42,5040.00,5167.01,316242.586
1584230400000,5167.21,5954.47,5089.12,5357.32,356311.765
1584316800000,5354.81,5361.26,4413.62,5026.26,621555.792
1584403200000,5027.11,5529.98,4913.49,5307.38,429908.098
1584489600000,5306.42,5435.00,4982.75,5389.64,402005.703
1584576000000,5389.94,6400.00,5246.50,6159.60,499391.190
1584662400000,6159.41,6911.00,5650.00,6203.77,571898.016
1584748800000,6204.47,6457.17,5854.01,6183.69,387679.649
1584835200000,6183.84,6408.91,5730.35,5810.17,391002.795
1584921600000,5810.30,6619.90,5670.00,6463.84,489746.087
1585008000000,6463.21,6840.00,6369.00,6741.33,437968.553
1585094400000,6740.86,6960.71,6436.26,6673.41,400684.542
1585180800000,6673.57,6777.50,6500.00,6733.76,281245.628
1585267200000,6733.76,6840.00,6230.00,6353.64,258213.519
1585353600000,6353.64,6354.74,6004.00,6230.95,341944.185
1585440000000,6231.81,6260.00,5857.60,5876.27,251335.919
1585526400000,5876.27,6606.15,5850.00,6391.08,387321.998
1585612800000,6389.52,6516.63,6320.00,6407.10,262522.644
1585699200000,6407.10,6693.00,6140.00,6641.51,390529.602
1585785600000,6641.22,7290.00,6542.73,6791.63,531321.428
1585872000000,6791.65,7049.11,6600.00,6729.80,411944.927
1585958400000,6729.80,7020.00,6629.99,6851.10,319849.757
1586044800000,6851.40,6893.44,6668.02,6768.90,239224.508
1586131200000,6768.90,7370.00,6760.00,7325.73,461331.013
1586217600000,7325.73,7457.00,7070.43,7192.90,419572.040
1586304000000,7192.90,7417.83,7145.14,7357.66,332599.575
1586390400000,7357.15,7365.69,7105.98,7278.65,293638.581
1586476800000,7278.83,7290.00,6741.00,6857.82,440148.453
1586563200000,6858.00,6944.28,6757.29,6874.18,224157.844
1586649600000,6874.17,7173.98,6775.66,6900.52,321594.822
1586736000000,6900.19,6900.99,6558.00,6834.00,421954.773
1586822400000,6834.01,6975.60,6751.00,6864.11,280445.427
1586908800000,6864.11,6929.00,6602.59,6616.89,281136.689
1586995200000,6616.88,7190.92,6465.33,7098.15,559868.603
1587081600000,7098.15,7140.00,6981.00,7022.44,277339.601
1587168000000,7022.00,7290.00,7008.11,7242.42,225807.171
1587254400000,7242.49,7258.42,7055.00,7118.03,216975.114
1587340800000,7118.04,7208.55,6735.95,6825.29,445104.981
1587427200000,6825.28,6940.00,6759.16,6838.00,288024.528
1587513600000,6838.00,7154.90,6812.57,7120.06,306482.163
1587600000000,7120.06,7802.38,7020.00,7483.35,472510.047
1587686400000,7483.36,7612.91,7388.00,7504.11,278378.368
1587772800000,7504.62,7722.33,7433.00,7534.01,243266.807
1587859200000,7534.01,7709.57,7476.86,7694.17,269921.936
1587945600000,7693.63,7795.60,7623.98,7774.00,290336.169
1588032000000,7774.00,7780.00,7662.49,7735.75,217652.761
1588118400000,7735.76,8988.66,7710.00,8784.20,871197.569
1588204800000,8784.05,9479.77,8400.00,8624.76,944211.711
1588291200000,8623.61,9065.00,8619.84,8830.52,417820.386
1588377600000,8830.52,9020.00,8755.01,8975.18,295769.728
1588464000000,8975.18,9200.00,8727.24,8900.00,451322.713
1588550400000,8899.99,8954.94,8526.00,8873.98,440135.307
1588636800000,8873.99,9118.17,8766.12,9022.78,409920.130
1588723200000,9022.76,9405.00,8916.01,9148.27,507753.800
1588809600000,9148.29,10080.00,9022.00,9995.00,738920.219
1588896000000,9994.74,10045.03,9726.00,9807.49,458034.211
1588982400000,9809.63,9923.98,9528.23,9550.67,411941.957
1589068800000,9550.25,9580.00,7940.00,8719.53,842909.031
1589155200000,8723.23,9164.00,8151.12,8561.09,805164.964
1589241600000,8560.73,8981.00,8520.43,8808.71,369716.041
1589328000000,8808.71,9397.00,8790.04,9305.91,379719.000
1589414400000,9305.91,9950.00,9250.66,9786.80,602528.438
1589500800000,9787.62,9843.50,9100.00,9310.73,504107.096
1589587200000,9311.21,9585.00,9210.03,9374.99,287768.201
1589673600000,9374.99,9880.00,9317.16,9678.57,300859.340
1589760000000,9677.31,9958.67,9450.00,9731.10,363732.370
1589846400000,9731.11,9900.00,9462.00,9773.64,376313.845
1589932800000,9772.66,9838.00,9281.42,9508.11,334423.590
1590019200000,9508.00,9573.00,8812.20,9060.00,461439.193
1590105600000,9060.00,9259.38,8920.00,9166.40,276008.073
1590192000000,9166.43,9300.00,9076.90,9176.41,201589.660
1590278400000,9176.32,9294.44,8674.00,8711.37,339643.378
1590364800000,8711.37,8977.00,8623.38,8895.65,302980.106
1590451200000,8895.66,9011.82,8693.18,8837.05,275619.158
1590537600000,8837.88,9230.00,8811.00,9197.32,272253.998
1590624000000,9197.32,9621.65,9110.97,9569.59,327412.374
1590710400000,9569.58,9598.00,9317.42,9422.26,238691.299
1590796800000,9422.11,9753.00,9326.01,9695.00,255234.058
1590883200000,9694.38,9698.00,9371.76,9446.43,219829.356
1590969600000,9446.49,10497.25,9420.85,10232.48,333740.457
1591056000000,10232.41,10262.30,9264.15,9514.90,354168.517
1591142400000,9514.90,9694.75,9382.33,9663.59,185389.412
1591228800000,9663.58,9884.00,9440.00,9788.33,264515.319
1591315200000,9788.32,9855.00,9580.52,9617.29,237103.042
1591401600000,9616.64,9738.77,9528.00,9664.00,152526.703
1591488000000,9664.01,9823.13,9373.00,9743.92,253986.313
1591574400000,9743.92,9816.00,9631.00,9778.87,162086.419
1591660800000,9778.87,9890.00,9550.03,9771.66,204422.819
1591747200000,9771.66,10015.99,9681.21,9884.99,193628.149
1591833600000,9884.99,9970.10,9055.07,9278.03,404046.613
1591920000000,9277.72,9550.00,9238.00,9458.91,211611.340
1592006400000,9458.77,9497.85,9340.00,9468.54,113449.075
1592092800000,9468.55,9477.00,9240.97,9339.61,143978.523
1592179200000,9339.70,9490.83,8888.43,9422.01,413865.727
1592265600000,9422.01,9595.00,9370.00,9519.12,225713.247
1592352000000,9519.13,9569.00,9231.03,9458.45,227477.390
1592438400000,9458.45,9483.85,9272.41,9381.59,158349.247
1592524800000,9381.99,9453.00,9239.00,9307.00,219510.059
1592611200000,9307.00,9394.29,9165.00,9354.04,154462.290
1592697600000,9353.84,9420.47,9279.00,9293.51,110599.558
1592784000000,9293.39,9795.00,9273.00,9686.99,260561.647
1592870400000,9686.99,9723.23,9585.00,9631.66,164673.499
1592956800000,9631.65,9678.00,9210.00,9298.40,300450.251
